Protein,datatype,MTFE,Rs,Sd,Frame,Sequence,length,kappa,FCR,NCPR,Hydrophobicity,Expanding,delta
puma_scramble_40,ee,1.0,3.558140942698439,0.0404661052076818,16824.0,,,,,,,,
puma_scramble_40,ee,2.0,3.858311274229304,0.0186981964379769,16824.0,,,,,,,,
puma_scramble_40,ee,3.0,4.076931814179073,0.028827511581392,16824.0,,,,,,,,
puma_scramble_91,ee,-3.0,1.1982796365689814,0.2229923375621384,16823.0,,,,,,,,
puma_scramble_91,ee,-2.0,1.3674356086770691,0.0516184282596562,13957.0,,,,,,,,
puma_scramble_91,ee,-1.0,1.568133510679322,0.1613523681809358,33644.0,,,,,,,,
puma_scramble_91,ee,0.0,2.8905275650747577,0.2743282355503252,33648.0,,,,,,,,
puma_scramble_91,ee,1.0,3.6506891677673705,0.0710417548471432,32419.0,,,,,,,,
puma_scramble_91,ee,2.0,4.037170144830014,0.0363318261287031,15917.0,,,,,,,,
puma_scramble_91,ee,3.0,4.2028354663619725,0.0313665019637105,16824.0,,,,,,,,
puma_scramble_24,ee,-3.0,1.1489434016868472,0.3949462757744075,16800.0,,,,,,,,
puma_scramble_24,ee,-2.0,0.920968736002133,0.1997299592223518,16800.0,,,,,,,,
puma_scramble_24,ee,-1.0,1.1910756955774766,0.3787959841815908,16800.0,,,,,,,,
puma_scramble_24,ee,0.0,3.2188666090138613,0.112734975846349,16800.0,,,,,,,,
puma_scramble_24,ee,1.0,3.676073277110145,0.1078028858867647,16800.0,,,,,,,,
puma_scramble_24,ee,2.0,3.950711584353731,0.011424579662349,16800.0,,,,,,,,
puma_scramble_24,ee,3.0,4.108874661237711,0.0077937091317801,16800.0,,,,,,,,
puma_scramble_33,ee,-3.0,1.0664141684362576,0.0854450916620132,16800.0,,,,,,,,
puma_scramble_33,ee,-2.0,1.3194104593832578,0.1196493380136019,16800.0,,,,,,,,
puma_scramble_33,ee,-1.0,2.2447749033144544,0.3478285388021501,16800.0,,,,,,,,
puma_scramble_33,ee,0.0,3.197550652392563,0.2253521229910587,16800.0,,,,,,,,
puma_scramble_33,ee,1.0,3.922978257072114,0.0187562546335039,16800.0,,,,,,,,
puma_scramble_33,ee,2.0,4.289613695989052,0.0127915982505441,16800.0,,,,,,,,
puma_scramble_33,ee,3.0,4.514955784057578,0.0164388694214724,16800.0,,,,,,,,
puma_scramble_13,ee,-3.0,2.0645791955274486,0.2059901640540333,16800.0,,,,,,,,
